iteration no.; 0; x coordinate; y coordinate; 
Particle no.; 42;  3.8575; 6.07265;
Particle no.; 43;  2.21069; 4.41911;
Particle no.; 44;  4.99395; 3.03251;
Particle no.; 45;  3.63514; 3.32862;
Particle no.; 46;  4.38927; 6.18303;
Particle no.; 47;  2.5358; 3.13722;
Particle no.; 48;  5.40542; 2.82779;
Particle no.; 49;  5.45376; 3.16398;
iteration no.; 21; x coordinate; y coordinate; 
Particle no.; 0;  5.36754; 1.96556;
Particle no.; 1;  5.64366; 1.87338;
Particle no.; 2;  2.7424; 4.13497;
Particle no.; 3;  5.46149; 0.484468;
Particle no.; 4;  4.50518; 2.35286;
Particle no.; 5;  5.57328; 2.5562;
Particle no.; 6;  2.56141; 5.48418;
Particle no.; 7;  5.65116; 1.91912;
Particle no.; 8;  4.1653; 1.75272;
Particle no.; 9;  4.57408; 2.30327;
Particle no.; 10;  6.27038; 2.63324;
Particle no.; 11;  3.29222; 2.6775;
Particle no.; 12;  5.16786; 0.809564;
Particle no.; 13;  4.37277; 1.93685;
Particle no.; 14;  2.20936; 3.13923;
Particle no.; 15;  3.82482; 4.86915;
Particle no.; 16;  5.65168; 2.62334;
Particle no.; 17;  4.73519; 2.87517;
Particle no.; 18;  5.6896; 5.3526;
Particle no.; 19;  2.51234; 4.09585;
Particle no.; 20;  5.18259; 3.60139;
Particle no.; 21;  5.40266; 0.99892;
Particle no.; 22;  4.58023; 1.87328;
Particle no.; 23;  6.85736; 3.48299;
Particle no.; 24;  6.28473; 1.75672;
Particle no.; 25;  4.81308; 3.09771;
Particle no.; 26;  4.61742; 2.21611;
Particle no.; 27;  6.14377; 4.49447;
Particle no.; 28;  2.40007; 5.51563;
Particle no.; 29;  6.78022; 3.02528;
Particle no.; 30;  5.01349; 3.91112;
Particle no.; 31;  1.83096; 1.74189;
Particle no.; 32;  4.00805; 2.22806;
Particle no.; 33;  5.48606; 3.91887;
Particle no.; 34;  5.86801; 1.22382;
Particle no.; 35;  5.89948; 0.948658;
Particle no.; 36;  6.72996; 6.14341;
Particle no.; 37;  3.60553; 6.1469;
Particle no.; 38;  4.49817; 0.866893;
Particle no.; 39;  4.60529; 2.32752;
Particle no.; 40;  4.54834; 2.13555;
Particle no.; 41;  6.17982; 2.44073;
Particle no.; 42;  3.84575; 6.09055;
Particle no.; 43;  2.15321; 4.44006;
Particle no.; 44;  4.98583; 3.03588;
Particle no.; 45;  3.62294; 3.33376;
Particle no.; 46;  4.37905; 6.19957;
Particle no.; 47;  2.51678; 3.13874;
Particle no.; 48;  5.40249; 2.82833;
Particle no.; 49;  5.45026; 3.16759;
iteration no.; 24; x coordinate; y coordinate; 
Particle no.; 0;  5.35789; 1.9597;
Particle no.; 1;  5.64238; 1.87178;
Particle no.; 2;  2.73424; 4.13735;
Particle no.; 3;  5.46009; 0.476896;
Particle no.; 4;  4.51298; 2.35416;
Particle no.; 5;  5.57186; 2.55617;
Particle no.; 6;  2.53857; 5.50357;
Particle no.; 7;  5.64424; 1.91191;
Particle no.; 8;  4.14548; 1.74237;
Particle no.; 9;  4.55656; 2.29988;
Particle no.; 10;  6.27048; 2.63318;
Particle no.; 11;  3.28657; 2.67742;
Particle no.; 12;  5.16579; 0.806109;
Particle no.; 13;  4.38475; 1.94147;
Particle no.; 14;  2.20165; 3.1401;
Particle no.; 15;  3.82004; 4.87334;
Particle no.; 16;  5.65048; 2.6235;
Particle no.; 17;  4.73223; 2.87562;
Particle no.; 18;  5.68862; 5.35789;
Particle no.; 19;  2.50626; 4.09656;
Particle no.; 20;  5.18056; 3.60337;
Particle no.; 21;  5.40093; 0.995647;
Particle no.; 22;  4.58798; 1.87511;
Particle no.; 23;  6.85841; 3.4845;
Particle no.; 24;  6.28463; 1.75504;
Particle no.; 25;  4.81049; 3.09861;
Particle no.; 26;  4.60144; 2.21201;
Particle no.; 27;  6.14354; 4.49797;
Particle no.; 28;  2.39007; 5.51924;
Particle no.; 29;  6.78103; 3.026;
Particle no.; 30;  5.01108; 3.91348;
Particle no.; 31;  1.82255; 1.74038;
Particle no.; 32;  4.01786; 2.22856;
Particle no.; 33;  5.48456; 3.92148;
Particle no.; 34;  5.86721; 1.22106;
Particle no.; 35;  5.89887; 0.945624;
Particle no.; 36;  6.731; 6.1499;
Particle no.; 37;  3.60047; 6.1568;
Particle no.; 38;  4.4947; 0.863456;
Particle no.; 39;  4.58861; 2.32355;
Particle no.; 40;  4.55666; 2.1371;
Particle no.; 41;  6.1797; 2.44029;
Particle no.; 42;  3.84118; 6.09719;
Particle no.; 43;  2.12653; 4.45021;
Particle no.; 44;  4.9832; 3.0368;
Particle no.; 45;  3.61802; 3.33528;
Particle no.; 46;  4.37537; 6.2062;
Particle no.; 47;  2.50962; 3.13959;
Particle no.; 48;  5.401; 2.82865;
Particle no.; 49;  5.44877; 3.16871;
iteration no.; 27; x coordinate; y coordinate; 
Particle no.; 0;  5.34982; 1.95471;
Particle no.; 1;  5.64237; 1.87186;
Particle no.; 2;  2.73224; 4.13766;
Particle no.; 3;  5.45958; 0.4744;
Particle no.; 4;  4.51151; 2.35393;
Particle no.; 5;  5.57185; 2.55592;
Particle no.; 6;  2.53101; 5.50959;
Particle no.; 7;  5.63444; 1.90154;
Particle no.; 8;  4.12872; 1.73377;
Particle no.; 9;  4.54185; 2.29704;
Particle no.; 10;  6.27028; 2.6333;
Particle no.; 11;  3.28566; 2.67776;
Particle no.; 12;  5.16542; 0.805543;
Particle no.; 13;  4.38644; 1.94216;
Particle no.; 14;  2.20042; 3.14043;
Particle no.; 15;  3.81958; 4.87411;
Particle no.; 16;  5.65035; 2.62315;
Particle no.; 17;  4.73186; 2.87571;
Particle no.; 18;  5.6882; 5.35845;
Particle no.; 19;  2.50542; 4.09606;
Particle no.; 20;  5.18016; 3.60337;
Particle no.; 21;  5.40085; 0.99549;
Particle no.; 22;  4.58661; 1.8743;
Particle no.; 23;  6.85871; 3.48497;
Particle no.; 24;  6.2849; 1.7548;
Particle no.; 25;  4.8097; 3.09871;
Particle no.; 26;  4.58796; 2.20856;
Particle no.; 27;  6.14348; 4.4986;
Particle no.; 28;  2.38734; 5.51937;
Particle no.; 29;  6.78151; 3.02615;
Particle no.; 30;  5.01075; 3.914;
Particle no.; 31;  1.82118; 1.73975;
Particle no.; 32;  4.01596; 2.22807;
Particle no.; 33;  5.48434; 3.92153;
Particle no.; 34;  5.86717; 1.22079;
Particle no.; 35;  5.89858; 0.944789;
Particle no.; 36;  6.73081; 6.15131;
Particle no.; 37;  3.59967; 6.15947;
Particle no.; 38;  4.49439; 0.863087;
Particle no.; 39;  4.57458; 2.32026;
Particle no.; 40;  4.55531; 2.13662;
Particle no.; 41;  6.17958; 2.44039;
Particle no.; 42;  3.84038; 6.09808;
Particle no.; 43;  2.11799; 4.45378;
Particle no.; 44;  4.9832; 3.03662;
Particle no.; 45;  3.617; 3.33512;
Particle no.; 46;  4.37498; 6.20755;
Particle no.; 47;  2.50856; 3.13996;
Particle no.; 48;  5.40043; 2.82881;
Particle no.; 49;  5.44839; 3.16866;
iteration no.; 30; x coordinate; y coordinate; 
Particle no.; 0;  5.34458; 1.95143;
Particle no.; 1;  5.6428; 1.8725;
Particle no.; 2;  2.7329; 4.13717;
Particle no.; 3;  5.45952; 0.474353;
Particle no.; 4;  4.50728; 2.35324;
Particle no.; 5;  5.57231; 2.55566;
Particle no.; 6;  2.53083; 5.50932;
Particle no.; 7;  5.62643; 1.89303;
Particle no.; 8;  4.11777; 1.72821;
Particle no.; 9;  4.53229; 2.29519;
Particle no.; 10;  6.27002; 2.63344;
Particle no.; 11;  3.28662; 2.67814;
Particle no.; 12;  5.16574; 0.806128;
Particle no.; 13;  4.38411; 1.94132;
Particle no.; 14;  2.20177; 3.1405;
Particle no.; 15;  3.82072; 4.87349;
Particle no.; 16;  5.65062; 2.62273;
Particle no.; 17;  4.73248; 2.87565;
Particle no.; 18;  5.68808; 5.35724;
Particle no.; 19;  2.50661; 4.0953;
Particle no.; 20;  5.18044; 3.6027;
Particle no.; 21;  5.40136; 0.996445;
Particle no.; 22;  4.58249; 1.87282;
Particle no.; 23;  6.85866; 3.48496;
Particle no.; 24;  6.28521; 1.75512;
Particle no.; 25;  4.80976; 3.09849;
Particle no.; 26;  4.57916; 2.2063;
Particle no.; 27;  6.1435; 4.49805;
Particle no.; 28;  2.38788; 5.51826;
Particle no.; 29;  6.78174; 3.02606;
Particle no.; 30;  5.01123; 3.91374;
Particle no.; 31;  1.82262; 1.73959;
Particle no.; 32;  4.01058; 2.22739;
Particle no.; 33;  5.48462; 3.92069;
Particle no.; 34;  5.8674; 1.22145;
Particle no.; 35;  5.8985; 0.944945;
Particle no.; 36;  6.73024; 6.15058;
Particle no.; 37;  3.60056; 6.15891;
Particle no.; 38;  4.49524; 0.863873;
Particle no.; 39;  4.56544; 2.31815;
Particle no.; 40;  4.55103; 2.13557;
Particle no.; 41;  6.17949; 2.44065;
Particle no.; 42;  3.84109; 6.09675;
Particle no.; 43;  2.11809; 4.45409;
Particle no.; 44;  4.9841; 3.03611;
Particle no.; 45;  3.61761; 3.33443;
Particle no.; 46;  4.37583; 6.2067;
Particle no.; 47;  2.5099; 3.14007;
Particle no.; 48;  5.40033; 2.82886;
Particle no.; 49;  5.4485; 3.16822;
iteration no.; 33; x coordinate; y coordinate; 
Particle no.; 0;  5.34179; 1.94968;
Particle no.; 1;  5.64325; 1.87315;
Particle no.; 2;  2.7343; 4.13655;
Particle no.; 3;  5.45963; 0.47516;
Particle no.; 4;  4.5033; 2.35259;
Particle no.; 5;  5.57281; 2.55547;
Particle no.; 6;  2.53324; 5.50696;
Particle no.; 7;  5.62131; 1.88757;
Particle no.; 8;  4.11192; 1.72526;
