iteration no.; 0; x coordinate; y coordinate; 
Particle no.; 13;  5.2561; 1.99025;
Particle no.; 14;  1.23333; 2.57156;
Particle no.; 15;  6.8356; 2.43071;
Particle no.; 16;  7; 2.15625;
Particle no.; 17;  4.90018; 2.79369;
Particle no.; 18;  3.13618; 4.30841;
Particle no.; 19;  0.811824; 2.74847;
Particle no.; 20;  2.44592; 3.98301;
Particle no.; 21;  6.58896; 3.3292;
Particle no.; 22;  1.13745; 7;
Particle no.; 23;  1.80605; 6.18245;
Particle no.; 24;  2.1395; 4.50824;
Particle no.; 25;  2.24642; 4.52476;
Particle no.; 26;  5.8715; 4.19963;
Particle no.; 27;  0.155144; 0.408289;
Particle no.; 28;  0.0512054; 5.10771;
Particle no.; 29;  3.39395; 5.02487;
Particle no.; 30;  3.92034; 2.47393;
Particle no.; 31;  6.32377; 1.97402;
Particle no.; 32;  1.74779; 2.31631;
Particle no.; 33;  5.72394; 5.76097;
Particle no.; 34;  4.4217; 3.6229;
Particle no.; 35;  0.0706839; 2.26632;
Particle no.; 36;  1.77593; 6.29468;
Particle no.; 37;  0.367912; 5.92258;
Particle no.; 38;  6.65087; 2.94812;
Particle no.; 39;  1.0191; 0.0234379;
Particle no.; 40;  6.59032; 6.3315;
Particle no.; 41;  7; 7;
Particle no.; 42;  2.32719; 5.0928;
Particle no.; 43;  6.60033; 6.71375;
Particle no.; 44;  6.90248; 0;
Particle no.; 45;  1.76914; 5.56;
Particle no.; 46;  3.91298; 3.00963;
Particle no.; 47;  1.41985; 6.13376;
Particle no.; 48;  5.03979; 4.16674;
Particle no.; 49;  2.73088; 4.30464;
iteration no.; 100; x coordinate; y coordinate; 
Particle no.; 0;  7; 3.23299;
Particle no.; 1;  2.94089; 3.09889;
Particle no.; 2;  5.99784; 1.55273;
Particle no.; 3;  6.09906; 6.19186;
Particle no.; 4;  1.57549; 0.631456;
Particle no.; 5;  0.0419732; 1.01904;
Particle no.; 6;  1.3514; 7;
Particle no.; 7;  7; 3.53904;
Particle no.; 8;  6.13247; 0;
Particle no.; 9;  2.66853; 4.31638;
Particle no.; 10;  4.35422; 3.04592;
Particle no.; 11;  2.59123; 5.02944;
Particle no.; 12;  0.937379; 5.09807;
Particle no.; 13;  4.98097; 1.71512;
Particle no.; 14;  1.23956; 2.57778;
Particle no.; 15;  6.8172; 3.00645;
Particle no.; 16;  7; 2.1465;
Particle no.; 17;  5.5431; 3.25812;
Particle no.; 18;  2.64121; 3.81344;
Particle no.; 19;  4.02788; 5.22094;
Particle no.; 20;  2.99726; 4.29713;
Particle no.; 21;  5.91344; 0.157328;
Particle no.; 22;  1.49234; 7;
Particle no.; 23;  1.8422; 6.20844;
Particle no.; 24;  1.98978; 4.35852;
Particle no.; 25;  2.39432; 4.60266;
Particle no.; 26;  5.86427; 4.1924;
Particle no.; 27;  1.50822; 1.96497;
Particle no.; 28;  0.0424223; 5.20973;
Particle no.; 29;  2.57864; 4.20956;
Particle no.; 30;  4.03703; 2.54483;
Particle no.; 31;  6.28689; 2.55197;
Particle no.; 32;  2.11265; 2.68117;
Particle no.; 33;  2.58293; 3.09144;
Particle no.; 34;  6.98461; 6.98874;
Particle no.; 35;  0.0803942; 2.21013;
Particle no.; 36;  1.70456; 6.23708;
Particle no.; 37;  0.280357; 5.07299;
Particle no.; 38;  6.64415; 2.89383;
Particle no.; 39;  2.41578; 1.08824;
Particle no.; 40;  6.57488; 6.32187;
Particle no.; 41;  6.73842; 6.76336;
Particle no.; 42;  1.94903; 4.73712;
Particle no.; 43;  6.63288; 6.739;
Particle no.; 44;  6.77871; 0;
Particle no.; 45;  0; 4.46209;
Particle no.; 46;  1.9266; 1.54643;
Particle no.; 47;  1.55526; 6.15602;
Particle no.; 48;  5.075; 4.20195;
Particle no.; 49;  3.40719; 4.98095;
iteration no.; 110; x coordinate; y coordinate; 
Particle no.; 0;  7; 4.09648;
Particle no.; 1;  2.846; 3.00399;
